RunAdaptation;EmergencyVehiclePriorization;FloodingPriorization;WeatherPriorization;MinimumTime;MaximumTime;CurrentTemperature;MaxTemperature;MinTemperature;EmrgVhcAdaptationInterval;personPerCarFactor;trafficImbalanceFactor;trafficImbalanceFrequency;MaximumVehicleSpeed;floodedVehicleSpeed;floodedLanes;WeightedTimeLoss;WeightedDuration;WeightedWaitingTime;averageCO2Emission;averageFuelUse;averageFloodedTimeLoss;averageEmrgVehicleWaitingTime;averageEmrgVehicleTimeLoss;averageEmrgVehicleDuration;averageFloodedWaitingTime;averageFloodedTimeLoss;averageEmrgVehicleWaitingTime;averageEmrgVehicleTimeLoss;averageEmrgVehicleDuration;averageVehicleWaitingTime;averageVehicleTimeLoss;averageVehicleDuration;averagePersonWaitingTime;averagePersonTimeLoss;averagePersonDuration;timeLossMap;waitingTimeMap;floodedWaitingTimeMap;totalWaitingTime;totalFloodedWaitingTime;floodedTimeLossMap;totalTimeLoss;totalFloodedTimeLoss;EmrgVehicleCount;vehiclesCount;personsCount;VehiclesPerSecondInbalance;WeatherVariance;WeatherVariationFactor
0;0;0;0;15;45;10;30;10;10;1.54;0;20;16.67;4.17;['E1_2', 'E1_1', 'E3_2'];36.37043366251612;86.28424216401889;16.35895234006011;121734.18559375216;39458.66562686969;33.507847633136095;32.611111111111114;42.72222222222222;64.52777777777777;26.361686390532544;33.507847633136095;32.611111111111114;42.72222222222222;64.52777777777777;24.26751592356688;33.940563694267546;53.341082802547774;0.0;41.39664690382081;154.42753623188406;{'-E1_0': None, '-E1_1': '448.95', '-E1_2': '398.54', '-E2_0': None, '-E2_1': '341.12', '-E2_2': '518.05', '-E3_0': None, '-E3_1': '427.25', '-E3_2': '404.10', '-E4_0': None, '-E4_1': '359.50', '-E4_2': '431.38', 'E1_0': None, 'E1_1': '10808.84', 'E1_2': '19163.33', 'E2_0': None, 'E2_1': '9214.06', 'E2_2': '13695.93', 'E3_0': None, 'E3_1': '9810.52', 'E3_2': '15330.44', 'E4_0': None, 'E4_1': '8853.81', 'E4_2': '14207.70'};{'-E1_0': None, '-E1_1': '0.00', '-E1_2': '0.00', '-E2_0': None, '-E2_1': '0.00', '-E2_2': '0.00', '-E3_0': None, '-E3_1': '0.00', '-E3_2': '0.00', '-E4_0': None, '-E4_1': '0.00', '-E4_2': '0.00', 'E1_0': None, 'E1_1': '8226.00', 'E1_2': '15399.00', 'E2_0': None, 'E2_1': '6119.00', 'E2_2': '10782.00', 'E3_0': None, 'E3_1': '6798.00', 'E3_2': '12016.00', 'E4_0': None, 'E4_1': '5648.00', 'E4_2': '11097.00'};{'E1_1': '8226.00', 'E1_2': '15399.00', 'E3_2': '12016.00'};76085.0;35641.0;{'E1_1': '10808.84', 'E1_2': '19163.33', 'E3_2': '15330.44'};104413.52;45302.61;36;3140;1518;0.0;100.0;1.0
1;0;0;0;15;45;10;30;10;10;1.54;0;20;16.67;4.17;['E1_2', 'E1_1', 'E3_2'];36.80453413482184;86.682052382997;16.596393301846287;122372.85506586017;39666.14156144173;33.83311061618411;27.86111111111111;37.35888888888889;59.05555555555556;26.72160356347439;33.83311061618411;27.86111111111111;37.35888888888889;59.05555555555556;24.619745222929936;34.35458917197457;53.70127388535032;0.0;41.87227272727272;154.90316205533597;{'-E1_0': None, '-E1_1': '452.59', '-E1_2': '393.09', '-E2_0': None, '-E2_1': '381.13', '-E2_2': '485.10', '-E3_0': None, '-E3_1': '424.93', '-E3_2': '414.33', '-E4_0': None, '-E4_1': '367.10', '-E4_2': '421.46', 'E1_0': None, 'E1_1': '10255.95', 'E1_2': '18504.45', 'E2_0': None, 'E2_1': '8322.73', 'E2_2': '13859.17', 'E3_0': None, 'E3_1': '9565.81', 'E3_2': '16812.80', 'E4_0': None, 'E4_1': '9382.10', 'E4_2': '15670.16'};{'-E1_0': None, '-E1_1': '0.00', '-E1_2': '0.00', '-E2_0': None, '-E2_1': '0.00', '-E2_2': '0.00', '-E3_0': None, '-E3_1': '0.00', '-E3_2': '0.00', '-E4_0': None, '-E4_1': '0.00', '-E4_2': '0.00', 'E1_0': None, 'E1_1': '7635.00', 'E1_2': '14898.00', 'E2_0': None, 'E2_1': '5293.00', 'E2_2': '10886.00', 'E3_0': None, 'E3_1': '6432.00', 'E3_2': '13461.00', 'E4_0': None, 'E4_1': '6210.00', 'E4_2': '12381.00'};{'E1_1': '7635.00', 'E1_2': '14898.00', 'E3_2': '13461.00'};77196.0;35994.0;{'E1_1': '10255.95', 'E1_2': '18504.45', 'E3_2': '16812.80'};105712.9;45573.2;36;3140;1518;0.0;100.0;1.0
1;1;0;0;15;45;10;30;10;10;1.54;0;20;16.67;4.17;['E1_2', 'E1_1', 'E3_2'];37.56423357664234;87.48776298840704;17.367539716616573;124346.06614593836;40305.781401141394;33.895660102115244;28.055555555555557;37.855277777777786;59.52777777777778;26.702407002188185;33.895660102115244;28.055555555555557;37.855277777777786;59.52777777777778;25.763694267515923;35.71213057324841;55.12707006369427;0.0;41.39532938076416;154.4262187088274;{'-E1_0': None, '-E1_1': '451.76', '-E1_2': '399.22', '-E2_0': None, '-E2_1': '325.15', '-E2_2': '534.77', '-E3_0': None, '-E3_1': '440.36', '-E3_2': '397.35', '-E4_0': None, '-E4_1': '332.64', '-E4_2': '467.05', 'E1_0': None, 'E1_1': '11832.17', 'E1_2': '17940.14', 'E2_0': None, 'E2_1': '9186.54', 'E2_2': '14972.78', 'E3_0': None, 'E3_1': '10360.31', 'E3_2': '16698.64', 'E4_0': None, 'E4_1': '10078.53', 'E4_2': '15518.52'};{'-E1_0': None, '-E1_1': '0.00', '-E1_2': '0.00', '-E2_0': None, '-E2_1': '0.00', '-E2_2': '0.00', '-E3_0': None, '-E3_1': '0.00', '-E3_2': '0.00', '-E4_0': None, '-E4_1': '0.00', '-E4_2': '0.00', 'E1_0': None, 'E1_1': '9275.00', 'E1_2': '14071.00', 'E2_0': None, 'E2_1': '6061.00', 'E2_2': '11913.00', 'E3_0': None, 'E3_1': '7274.00', 'E3_2': '13263.00', 'E4_0': None, 'E4_1': '6849.00', 'E4_2': '12070.00'};{'E1_1': '9275.00', 'E1_2': '14071.00', 'E3_2': '13263.00'};80776.0;36609.0;{'E1_1': '11832.17', 'E1_2': '17940.14', 'E3_2': '16698.64'};109935.93000000001;46470.95;36;3140;1518;0.0;100.0;1.0
1;0;1;0;15;45;10;30;10;10;1.54;0;20;16.67;4.17;['E1_2', 'E1_1', 'E3_2'];36.096975096608006;85.99849720910262;15.750966079862602;120516.67173362948;39064.253417495245;29.300674486803523;29.72222222222222;39.27416666666667;61.0;22.48973607038123;29.300674486803523;29.72222222222222;39.27416666666667;61.0;23.3656050955414;33.07662420382169;52.45891719745223;0.0;42.344604743083;155.37549407114625;{'-E1_0': None, '-E1_1': '437.34', '-E1_2': '405.34', '-E2_0': None, '-E2_1': '321.16', '-E2_2': '554.06', '-E3_0': None, '-E3_1': '459.55', '-E3_2': '379.02', '-E4_0': None, '-E4_1': '345.63', '-E4_2': '458.33', 'E1_0': None, 'E1_1': '9951.56', 'E1_2': '15469.78', 'E2_0': None, 'E2_1': '8310.00', 'E2_2': '15197.07', 'E3_0': None, 'E3_1': '9080.54', 'E3_2': '14544.78', 'E4_0': None, 'E4_1': '9757.13', 'E4_2': '15982.41'};{'-E1_0': None, '-E1_1': '0.00', '-E1_2': '0.00', '-E2_0': None, '-E2_1': '0.00', '-E2_2': '0.00', '-E3_0': None, '-E3_1': '0.00', '-E3_2': '0.00', '-E4_0': None, '-E4_1': '0.00', '-E4_2': '0.00', 'E1_0': None, 'E1_1': '7444.00', 'E1_2': '11890.00', 'E2_0': None, 'E2_1': '5236.00', 'E2_2': '12102.00', 'E3_0': None, 'E3_1': '6057.00', 'E3_2': '11342.00', 'E4_0': None, 'E4_1': '6562.00', 'E4_2': '12621.00'};{'E1_1': '7444.00', 'E1_2': '11890.00', 'E3_2': '11342.00'};73254.0;30676.0;{'E1_1': '9951.56', 'E1_2': '15469.78', 'E3_2': '14544.78'};101653.7;39966.12;36;3140;1518;0.0;100.0;1.0
1;0;0;1;15;45;10;30;10;10;1.54;0;20;16.67;4.17;['E1_2', 'E1_1', 'E3_2'];34.43566981537139;84.36646629454701;15.834048948046371;120300.13435719408;38994.754196225214;29.09731182795699;19.0;28.352222222222217;50.111111111111114;22.385663082437276;29.09731182795699;19.0;28.352222222222217;50.111111111111114;23.488853503184714;33.16663694267514;52.59235668789809;0.0;37.060678524374175;150.0915678524374;{'-E1_0': None, '-E1_1': '418.44', '-E1_2': '435.57', '-E2_0': None, '-E2_1': '274.93', '-E2_2': '552.05', '-E3_0': None, '-E3_1': '384.03', '-E3_2': '458.54', '-E4_0': None, '-E4_1': '313.63', '-E4_2': '477.14', 'E1_0': None, 'E1_1': '12628.76', 'E1_2': '14713.29', 'E2_0': None, 'E2_1': '10466.22', 'E2_2': '12093.33', 'E3_0': None, 'E3_1': '11049.81', 'E3_2': '13248.70', 'E4_0': None, 'E4_1': '11040.36', 'E4_2': '13243.37'};{'-E1_0': None, '-E1_1': '0.00', '-E1_2': '0.00', '-E2_0': None, '-E2_1': '0.00', '-E2_2': '0.00', '-E3_0': None, '-E3_1': '0.00', '-E3_2': '0.00', '-E4_0': None, '-E4_1': '0.00', '-E4_2': '0.00', 'E1_0': None, 'E1_1': '10072.00', 'E1_2': '11136.00', 'E2_0': None, 'E2_1': '7342.00', 'E2_2': '9273.00', 'E3_0': None, 'E3_1': '7977.00', 'E3_2': '10020.00', 'E4_0': None, 'E4_1': '7751.00', 'E4_2': '10021.00'};{'E1_1': '10072.00', 'E1_2': '11136.00', 'E3_2': '10020.00'};73592.0;31228.0;{'E1_1': '12628.76', 'E1_2': '14713.29', 'E3_2': '13248.70'};101798.17;40590.75;36;3140;1518;0.0;100.0;1.0
1;1;1;0;15;45;10;30;10;10;1.54;0;20;16.67;4.17;['E1_2', 'E1_1', 'E3_2'];38.481002576212994;88.38085015027909;18.276298840704165;126571.82808688273;41027.67016825086;36.363516483516484;23.52777777777778;33.44722222222222;55.22222222222222;28.967765567765568;36.363516483516484;23.52777777777778;33.44722222222222;55.22222222222222;27.111783439490445;37.119554140127434;56.49936305732484;0.0;41.29717391304347;154.32806324110672;{'-E1_0': None, '-E1_1': '425.61', '-E1_2': '418.19', '-E2_0': None, '-E2_1': '343.31', '-E2_2': '537.22', '-E3_0': None, '-E3_1': '452.57', '-E3_2': '390.52', '-E4_0': None, '-E4_1': '343.22', '-E4_2': '459.52', 'E1_0': None, 'E1_1': '11709.40', 'E1_2': '20135.25', 'E2_0': None, 'E2_1': '8905.44', 'E2_2': '15722.56', 'E3_0': None, 'E3_1': '10765.59', 'E3_2': '17791.55', 'E4_0': None, 'E4_1': '9769.88', 'E4_2': '16232.12'};{'-E1_0': None, '-E1_1': '0.00', '-E1_2': '0.00', '-E2_0': None, '-E2_1': '0.00', '-E2_2': '0.00', '-E3_0': None, '-E3_1': '0.00', '-E3_2': '0.00', '-E4_0': None, '-E4_1': '0.00', '-E4_2': '0.00', 'E1_0': None, 'E1_1': '9074.00', 'E1_2': '16190.00', 'E2_0': None, 'E2_1': '5786.00', 'E2_2': '12609.00', 'E3_0': None, 'E3_1': '7621.00', 'E3_2': '14277.00', 'E4_0': None, 'E4_1': '6638.00', 'E4_2': '12827.00'};{'E1_1': '9074.00', 'E1_2': '16190.00', 'E3_2': '14277.00'};85022.0;39541.0;{'E1_1': '11709.40', 'E1_2': '20135.25', 'E3_2': '17791.55'};114401.95;49636.2;36;3140;1518;0.0;100.0;1.0
1;0;1;1;15;45;10;30;10;10;1.54;0;20;16.67;4.17;['E1_2', 'E1_1', 'E3_2'];34.89290682696438;84.81129240017175;15.825032202662086;120432.26762161654;39037.415539136695;29.265571531272467;21.61111111111111;31.146388888888893;52.80555555555556;22.507548526240114;29.265571531272467;21.61111111111111;31.146388888888893;52.80555555555556;23.47547770700637;33.2296337579618;52.63694267515923;0.0;38.333405797101456;151.3642951251647;{'-E1_0': None, '-E1_1': '407.95', '-E1_2': '441.04', '-E2_0': None, '-E2_1': '278.78', '-E2_2': '566.80', '-E3_0': None, '-E3_1': '395.64', '-E3_2': '434.78', '-E4_0': None, '-E4_1': '307.01', '-E4_2': '487.74', 'E1_0': None, 'E1_1': '11824.09', 'E1_2': '14498.85', 'E2_0': None, 'E2_1': '9685.41', 'E2_2': '12791.43', 'E3_0': None, 'E3_1': '10521.57', 'E3_2': '14385.47', 'E4_0': None, 'E4_1': '10912.88', 'E4_2': '14094.17'};{'-E1_0': None, '-E1_1': '0.00', '-E1_2': '0.00', '-E2_0': None, '-E2_1': '0.00', '-E2_2': '0.00', '-E3_0': None, '-E3_1': '0.00', '-E3_2': '0.00', '-E4_0': None, '-E4_1': '0.00', '-E4_2': '0.00', 'E1_0': None, 'E1_1': '9261.00', 'E1_2': '10973.00', 'E2_0': None, 'E2_1': '6577.00', 'E2_2': '9844.00', 'E3_0': None, 'E3_1': '7442.00', 'E3_2': '11074.00', 'E4_0': None, 'E4_1': '7638.00', 'E4_2': '10762.00'};{'E1_1': '9261.00', 'E1_2': '10973.00', 'E3_2': '11074.00'};73571.0;31308.0;{'E1_1': '11824.09', 'E1_2': '14498.85', 'E3_2': '14385.47'};102033.61;40708.41;36;3140;1518;0.0;100.0;1.0
1;1;0;1;15;45;10;30;10;10;1.54;0;20;16.67;4.17;['E1_2', 'E1_1', 'E3_2'];35.0545534564191;85.00322026620867;16.128166595105196;121435.46191224111;39362.76489914872;28.215077903682722;20.055555555555557;29.31138888888889;50.916666666666664;21.502832861189802;28.215077903682722;20.055555555555557;29.31138888888889;50.916666666666664;23.92515923566879;33.86337579617839;53.3156050955414;0.0;37.51851778656127;150.5494071146245;{'-E1_0': None, '-E1_1': '419.49', '-E1_2': '435.88', '-E2_0': None, '-E2_1': '274.11', '-E2_2': '583.99', '-E3_0': None, '-E3_1': '417.22', '-E3_2': '426.98', '-E4_0': None, '-E4_1': '267.52', '-E4_2': '512.70', 'E1_0': None, 'E1_1': '12057.89', 'E1_2': '14407.49', 'E2_0': None, 'E2_1': '10901.13', 'E2_2': '12811.61', 'E3_0': None, 'E3_1': '11284.75', 'E3_2': '13374.31', 'E4_0': None, 'E4_1': '11510.79', 'E4_2': '14287.52'};{'-E1_0': None, '-E1_1': '0.00', '-E1_2': '0.00', '-E2_0': None, '-E2_1': '0.00', '-E2_2': '0.00', '-E3_0': None, '-E3_1': '0.00', '-E3_2': '0.00', '-E4_0': None, '-E4_1': '0.00', '-E4_2': '0.00', 'E1_0': None, 'E1_1': '9530.00', 'E1_2': '10677.00', 'E2_0': None, 'E2_1': '7653.00', 'E2_2': '9782.00', 'E3_0': None, 'E3_1': '8153.00', 'E3_2': '10155.00', 'E4_0': None, 'E4_1': '8139.00', 'E4_2': '10878.00'};{'E1_1': '9530.00', 'E1_2': '10677.00', 'E3_2': '10155.00'};74967.0;30362.0;{'E1_1': '12057.89', 'E1_2': '14407.49', 'E3_2': '13374.31'};103973.38;39839.69;36;3140;1518;0.0;100.0;1.0
1;1;1;1;15;45;10;30;10;10;1.54;0;20;16.67;4.17;['E1_2', 'E1_1', 'E3_2'];35.850605410047294;85.76835551738944;16.41026191498497;122243.24010051829;39624.700120565576;29.883879310344827;19.194444444444443;28.42611111111111;50.083333333333336;22.985632183908045;29.883879310344827;19.194444444444443;28.42611111111111;50.083333333333336;24.343630573248408;34.331531847133846;53.73789808917198;0.0;38.99282608695653;152.02371541501975;{'-E1_0': None, '-E1_1': '445.24', '-E1_2': '414.26', '-E2_0': None, '-E2_1': '289.24', '-E2_2': '580.01', '-E3_0': None, '-E3_1': '421.40', '-E3_2': '427.38', '-E4_0': None, '-E4_1': '292.05', '-E4_2': '487.90', 'E1_0': None, 'E1_1': '11866.47', 'E1_2': '14425.97', 'E2_0': None, 'E2_1': '10284.39', 'E2_2': '13243.28', 'E3_0': None, 'E3_1': '10963.39', 'E3_2': '15305.92', 'E4_0': None, 'E4_1': '11547.67', 'E4_2': '14490.04'};{'-E1_0': None, '-E1_1': '0.00', '-E1_2': '0.00', '-E2_0': None, '-E2_1': '0.00', '-E2_2': '0.00', '-E3_0': None, '-E3_1': '0.00', '-E3_2': '0.00', '-E4_0': None, '-E4_1': '0.00', '-E4_2': '0.00', 'E1_0': None, 'E1_1': '9292.00', 'E1_2': '10753.00', 'E2_0': None, 'E2_1': '7042.00', 'E2_2': '10168.00', 'E3_0': None, 'E3_1': '7754.00', 'E3_2': '11951.00', 'E4_0': None, 'E4_1': '8127.00', 'E4_2': '11197.00'};{'E1_1': '9292.00', 'E1_2': '10753.00', 'E3_2': '11951.00'};76284.0;31996.0;{'E1_1': '11866.47', 'E1_2': '14425.97', 'E3_2': '15305.92'};105484.61;41598.36;36;3140;1518;0.0;100.0;1.0
0;0;0;0;15;45;10;30;10;10;1.54;2;20;16.67;4.17;['E1_2', 'E1_1', 'E3_2'];96.25713577650964;138.25923700811055;71.63322319014719;241860.822394168;78402.79163330364;128.18363211951447;92.19444444444444;109.40444444444447;129.25;109.10208527855586;128.18363211951447;92.19444444444444;109.40444444444447;129.25;92.78871595330739;112.42838521400802;133.4535019455253;0.0;41.50073122529644;154.5316205533597;{'-E1_0': None, '-E1_1': '447.66', '-E1_2': '1072.57', '-E2_0': None, '-E2_1': '608.55', '-E2_2': '272.77', '-E3_0': None, '-E3_1': '442.03', '-E3_2': '1091.95', '-E4_0': None, '-E4_1': '587.30', '-E4_2': '258.00', 'E1_0': None, 'E1_1': '96004.84', 'E1_2': '163578.34', 'E2_0': None, 'E2_1': '9204.39', 'E2_2': '13711.34', 'E3_0': None, 'E3_1': '111387.49', 'E3_2': '152270.83', 'E4_0': None, 'E4_1': '8946.93', 'E4_2': '14239.76'};{'-E1_0': None, '-E1_1': '0.00', '-E1_2': '0.00', '-E2_0': None, '-E2_1': '0.00', '-E2_2': '0.00', '-E3_0': None, '-E3_1': '0.00', '-E3_2': '0.00', '-E4_0': None, '-E4_1': '0.00', '-E4_2': '0.00', 'E1_0': None, 'E1_1': '80632.00', 'E1_2': '139852.00', 'E2_0': None, 'E2_1': '6083.00', 'E2_2': '10802.00', 'E3_0': None, 'E3_1': '92615.00', 'E3_2': '130061.00', 'E4_0': None, 'E4_1': '5737.00', 'E4_2': '11109.00'};{'E1_1': '80632.00', 'E1_2': '139852.00', 'E3_2': '130061.00'};476891.0;350545.0;{'E1_1': '96004.84', 'E1_2': '163578.34', 'E3_2': '152270.83'};574124.75;411854.01;36;5140;1518;0.1;100.0;1.0
